doctor,eeg
Wake,10
Wake,13
Wake,16
Wake,18
Wake,17
Wake,18
Wake,17
Wake,17
Wake,16
Wake,16
Wake,16
Wake,16
Wake,15
Wake,16
Wake,16
Wake,14
Wake,14
Wake,14
Wake,14
Wake,13
Wake,13
Wake,13
Wake,13
Wake,13
Wake,11
Wake,9
Wake,8
Wake,7
Wake,7
Wake,7
Wake,9
Wake,11
Wake,13
Wake,14
Wake,14
Wake,14
Wake,14
Wake,13
Wake,13
Wake,13
Wake,13
Wake,12
Wake,12
Wake,12
Wake,12
Wake,11
Wake,11
Wake,11
Wake,12
Wake,12
Wake,12
Wake,13
Wake,13
Wake,13
Wake,13
Wake,12
Wake,13
Wake,13
Wake,13
Wake,13
Wake,13
Wake,14
Wake,13
Wake,12
Wake,11
Wake,10
Wake,9
Wake,8
Wake,8
Wake,8
Wake,9
Wake,10
Wake,9
Wake,9
Wake,8
Wake,7
Wake,6
Wake,4
Wake,3
Wake,4
Wake,4
Wake,4
Wake,4
Wake,5
Wake,5
Wake,5
Wake,5
Wake,5
Wake,5
Wake,5
Wake,4
Wake,6
Wake,7
Wake,6
Wake,6
Wake,6
Wake,6
Wake,5
Wake,4
Wake,4
Wake,4
Wake,5
Wake,8
Wake,9
Wake,10
Wake,11
Wake,11
Wake,10
Wake,7
Wake,5
Wake,5
Wake,4
Wake,4
Wake,3
Wake,3
Wake,3
Wake,3
Wake,3
Wake,3
NonREM1,3
NonREM1,4
NonREM1,4
NonREM1,4
NonREM1,4
NonREM1,4
NonREM1,4
NonREM2,4
NonREM2,5
NonREM2,4
NonREM2,4
NonREM2,4
Wake,4
Wake,3
Wake,3
Wake,3
Wake,3
Wake,4
NonREM1,5
NonREM1,5
NonREM2,6
NonREM2,7
NonREM2,7
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,7
NonREM2,8
NonREM2,8
NonREM2,9
NonREM2,9
NonREM2,9
NonREM2,10
NonREM2,10
NonREM2,11
NonREM2,11
NonREM2,12
NonREM2,12
NonREM2,12
NonREM2,12
NonREM2,11
NonREM2,12
NonREM2,12
NonREM2,12
NonREM2,13
NonREM2,13
NonREM2,14
NonREM2,14
NonREM3,14
NonREM3,14
NonREM3,14
NonREM3,13
NonREM3,14
NonREM3,14
NonREM3,14
NonREM3,14
NonREM3,14
NonREM3,14
NonREM3,14
NonREM3,14
NonREM3,15
NonREM3,15
NonREM3,14
NonREM3,14
NonREM3,14
NonREM2,14
NonREM2,13
NonREM2,13
NonREM2,13
NonREM2,13
NonREM3,13
NonREM3,13
NonREM3,14
NonREM3,14
NonREM3,14
NonREM3,14
NonREM3,14
NonREM3,14
NonREM3,14
NonREM3,14
NonREM3,15
NonREM3,14
NonREM3,14
NonREM3,14
NonREM3,15
NonREM3,16
NonREM3,16
NonREM3,15
NonREM3,15
NonREM2,15
